State,Year,Value
Alabama,2000,1
Alabama,2004,1
Alabama,2008,1
Alabama,2012,1
Alabama,2016,2
Alabama,2020,2
Alabama,2024,2
Alaska,2000,1
Alaska,2004,1
Alaska,2008,1
Alaska,2012,1
Alaska,2016,2
Alaska,2020,5
Alaska,2024,5
Arizona,2000,1
Arizona,2004,2
Arizona,2008,2
Arizona,2012,2
Arizona,2016,2
Arizona,2020,2
Arizona,2024,2
Arkansas,2000,1
Arkansas,2004,1
Arkansas,2008,1
Arkansas,2012,1
Arkansas,2016,1
Arkansas,2020,1
Arkansas,2024,1
California,2000,1
California,2004,1
California,2008,1
California,2012,2
California,2016,2
California,2020,8
California,2024,8
Colorado,2000,1
Colorado,2004,1
Colorado,2008,1
Colorado,2012,2
Colorado,2016,6
Colorado,2020,8
Colorado,2024,8
Connecticut,2000,1
Connecticut,2004,1
Connecticut,2008,1
Connecticut,2012,1
Connecticut,2016,8
Connecticut,2020,8
Connecticut,2024,8
D.C.,2000,1
D.C.,2004,1
D.C.,2008,1
D.C.,2012,4
D.C.,2016,6
D.C.,2020,8
D.C.,2024,8
Delaware,2000,1
Delaware,2004,1
Delaware,2008,1
Delaware,2012,1
Delaware,2016,2
Delaware,2020,2
Delaware,2024,5
Florida,2000,1
Florida,2004,1
Florida,2008,1
Florida,2012,1
Florida,2016,1
Florida,2020,2
Florida,2024,2
Georgia,2000,1
Georgia,2004,1
Georgia,2008,1
Georgia,2012,1
Georgia,2016,5
Georgia,2020,5
Georgia,2024,5
Hawaii,2000,1
Hawaii,2004,1
Hawaii,2008,1
Hawaii,2012,1
Hawaii,2016,6
Hawaii,2020,6
Hawaii,2024,8
Idaho,2000,4
Idaho,2004,4
Idaho,2008,4
Idaho,2012,4
Idaho,2016,4
Idaho,2020,6
Idaho,2024,6
Illinois,2000,1
Illinois,2004,1
Illinois,2008,4
Illinois,2012,4
Illinois,2016,6
Illinois,2020,8
Illinois,2024,8
Indiana,2000,1
Indiana,2004,1
Indiana,2008,1
Indiana,2012,2
Indiana,2016,2
Indiana,2020,2
Indiana,2024,2
Iowa,2000,1
Iowa,2004,1
Iowa,2008,4
Iowa,2012,4
Iowa,2016,6
Iowa,2020,6
Iowa,2024,6
Kansas,2000,1
Kansas,2004,1
Kansas,2008,1
Kansas,2012,2
Kansas,2016,2
Kansas,2020,2
Kansas,2024,2
Kentucky,2000,1
Kentucky,2004,1
Kentucky,2008,1
Kentucky,2012,1
Kentucky,2016,2
Kentucky,2020,2
Kentucky,2024,2
Louisiana,2000,1
Louisiana,2004,1
Louisiana,2008,1
Louisiana,2012,2
Louisiana,2016,2
Louisiana,2020,2
Louisiana,2024,2
Maine,2000,4
Maine,2004,4
Maine,2008,4
Maine,2012,4
Maine,2016,4
Maine,2020,4
Maine,2024,8
Maryland,2000,1
Maryland,2004,1
Maryland,2008,1
Maryland,2012,2
Maryland,2016,6
Maryland,2020,8
Maryland,2024,8
Massachusetts,2000,1
Massachusetts,2004,1
Massachusetts,2008,1
Massachusetts,2012,1
Massachusetts,2016,2
Massachusetts,2020,5
Massachusetts,2024,5
Michigan,2000,1
Michigan,2004,1
Michigan,2008,1
Michigan,2012,1
Michigan,2016,1
Michigan,2020,8
Michigan,2024,8
Minnesota,2000,4
Minnesota,2004,4
Minnesota,2008,4
Minnesota,2012,4
Minnesota,2016,6
Minnesota,2020,6
Minnesota,2024,8
Mississippi,2000,1
Mississippi,2004,1
Mississippi,2008,1
Mississippi,2012,1
Mississippi,2016,1
Mississippi,2020,1
Mississippi,2024,1
Missouri,2000,1
Missouri,2004,1
Missouri,2008,1
Missouri,2012,1
Missouri,2016,2
Missouri,2020,2
Missouri,2024,2
Montana,2000,1
Montana,2004,1
Montana,2008,4
Montana,2012,4
Montana,2016,4
Montana,2020,4
Montana,2024,4
Nebraska,2000,1
Nebraska,2004,1
Nebraska,2008,1
Nebraska,2012,1
Nebraska,2016,6
Nebraska,2020,6
Nebraska,2024,6
Nevada,2000,1
Nevada,2004,1
Nevada,2008,1
Nevada,2012,2
Nevada,2016,2
Nevada,2020,8
Nevada,2024,8
New Hampshire,2000,4
New Hampshire,2004,4
New Hampshire,2008,4
New Hampshire,2012,4
New Hampshire,2016,4
New Hampshire,2020,4
New Hampshire,2024,4
New Jersey,2000,1
New Jersey,2004,1
New Jersey,2008,1
New Jersey,2012,1
New Jersey,2016,1
New Jersey,2020,5
New Jersey,2024,5
New Mexico,2000,1
New Mexico,2004,1
New Mexico,2008,1
New Mexico,2012,1
New Mexico,2016,2
New Mexico,2020,6
New Mexico,2024,8
New York,2000,1
New York,2004,1
New York,2008,1
New York,2012,1
New York,2016,1
New York,2020,1
New York,2024,4
North Carolina,2000,1
North Carolina,2004,1
North Carolina,2008,4
North Carolina,2012,4
North Carolina,2016,4
North Carolina,2020,6
North Carolina,2024,6
North Dakota,2000,4
North Dakota,2004,4
North Dakota,2008,4
North Dakota,2012,4
North Dakota,2016,4
North Dakota,2020,4
North Dakota,2024,4
Ohio,2000,1
Ohio,2004,1
Ohio,2008,4
Ohio,2012,4
Ohio,2016,1
Ohio,2020,2
Ohio,2024,2
Oklahoma,2000,1
Oklahoma,2004,1
Oklahoma,2008,1
Oklahoma,2012,1
Oklahoma,2016,1
Oklahoma,2020,1
Oklahoma,2024,2
Oregon,2000,1
Oregon,2004,1
Oregon,2008,1
Oregon,2012,2
Oregon,2016,5
Oregon,2020,5
Oregon,2024,5
Pennsylvania,2000,1
Pennsylvania,2004,1
Pennsylvania,2008,1
Pennsylvania,2012,1
Pennsylvania,2016,2
Pennsylvania,2020,2
Pennsylvania,2024,5
Rhode Island,2000,1
Rhode Island,2004,1
Rhode Island,2008,1
Rhode Island,2012,1
Rhode Island,2016,2
Rhode Island,2020,5
Rhode Island,2024,5
South Carolina,2000,1
South Carolina,2004,1
South Carolina,2008,1
South Carolina,2012,2
South Carolina,2016,2
South Carolina,2020,2
South Carolina,2024,2
South Dakota,2000,1
South Dakota,2004,1
South Dakota,2008,1
South Dakota,2012,1
South Dakota,2016,1
South Dakota,2020,1
South Dakota,2024,1
Tennessee,2000,1
Tennessee,2004,1
Tennessee,2008,1
Tennessee,2012,1
Tennessee,2016,1
Tennessee,2020,2
Tennessee,2024,2
Texas,2000,1
Texas,2004,1
Texas,2008,1
Texas,2012,1
Texas,2016,1
Texas,2020,1
Texas,2024,1
Utah,2000,1
Utah,2004,1
Utah,2008,1
Utah,2012,2
Utah,2016,2
Utah,2020,6
Utah,2024,6
Vermont,2000,1
Vermont,2004,1
Vermont,2008,1
Vermont,2012,1
Vermont,2016,2
Vermont,2020,8
Vermont,2024,8
Virginia,2000,1
Virginia,2004,1
Virginia,2008,1
Virginia,2012,1
Virginia,2016,2
Virginia,2020,5
Virginia,2024,8
Washington,2000,1
Washington,2004,1
Washington,2008,2
Washington,2012,2
Washington,2016,2
Washington,2020,8
Washington,2024,8
West Virginia,2000,1
West Virginia,2004,1
West Virginia,2008,1
West Virginia,2012,1
West Virginia,2016,2
West Virginia,2020,2
West Virginia,2024,2
Wisconsin,2000,4
Wisconsin,2004,4
Wisconsin,2008,4
Wisconsin,2012,4
Wisconsin,2016,4
Wisconsin,2020,6
Wisconsin,2024,6
Wyoming,2000,4
Wyoming,2004,4
Wyoming,2008,4
Wyoming,2012,4
Wyoming,2016,4
Wyoming,2020,4
Wyoming,2024,4
